country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
63000,63000010,民有里,A010001316,中山國中地下停車場B1親子,臺北市松山區民有里民權東路三段140巷15號,縣市政府,25.0605,121.546741,特優級,交通,親子廁所,臺北市停車管理工程處,0
63000,63000010,民有里,A010001315,中山國中地下停車場B1女,臺北市松山區民有里民權東路三段140巷15號,縣市政府,25.0605,121.546741,特優級,交通,女廁所,臺北市停車管理工程處,0
63000,63000010,民有里,A010001314,中山國中地下停車場B1男,臺北市松山區民有里民權東路三段140巷15號,縣市政府,25.0605,121.546741,特優級,交通,男廁所,臺北市停車管理工程處,0
63000,63000100,安湖里,A100001478,東湖立體停車場B1無障礙,臺北市內湖區安湖里東湖路3號,縣市政府,25.069693,121.61224,特優級,社福機構、集會場所,無障礙廁所,正好停股份有限公司東湖立體停車場,0
63000,63000100,安湖里,A100001477,東湖立體停車場B1女,臺北市內湖區安湖里東湖路3號,縣市政府,25.069693,121.61224,特優級,社福機構、集會場所,女廁所,正好停股份有限公司東湖立體停車場,0
63000,63000100,安湖里,A100001476,東湖立體停車場B1男,臺北市內湖區安湖里東湖路3號,縣市政府,25.069693,121.61224,特優級,社福機構、集會場所,男廁所,正好停股份有限公司東湖立體停車場,0
63000,63000100,安湖里,A100001475,東湖立體停車場3F無障礙,臺北市內湖區安湖里東湖路3號,縣市政府,25.069693,121.61224,特優級,社福機構、集會場所,無障礙廁所,正好停股份有限公司東湖立體停車場,0
63000,63000100,安湖里,A100001474,東湖立體停車場3F女,臺北市內湖區安湖里東湖路3號,縣市政府,25.069693,121.61224,特優級,交通,女廁所,正好停股份有限公司東湖立體停車場,0
63000,63000010,精忠里,A010001288,中油松山機場加油站無障礙,臺北市松山區精忠里敦化北路342之1號,勞動部,25.062609,121.550583,特優級,商業營業場所,無障礙廁所,台灣中油股份有限公司,0
63000,63000010,精忠里,A010001287,中油松山機場加油站女廁,臺北市松山區精忠里敦化北路342之1號,經濟部,25.062609,121.550583,特優級,商業營業場所,女廁所,台灣中油股份有限公司,0
63000,63000110,福林里,A110002002,西歐士林加油站無障礙,"臺北市士林區福林里中山北路五段570號 ",西歐加油站股份有限公司,25.095592,121.528262,特優級,商業營業場所,無障礙廁所,西歐加油站股份有限公司,0
63000,63000110,福林里,A110002001,士林官邸5號親子,臺北市士林區福林里福林路60號,臺北市政府工務局公園路燈工程管理處,25.09406197,121.5300965,特優級,公園,親子廁所,臺北市政府工務局公園路燈工程管理處,0
63000,63000030,通化里,A030001946,台灣中油富陽街加油站無障礙,臺北市大安區通化里富陽街129號,經濟部,25.032931,121.555457,特優級,商業營業場所,無障礙廁所,台灣中油股份有限公司,0
63000,63000030,通化里,A030001945,台灣中油富陽街加油站女廁,臺北市大安區通化里富陽街129號,經濟部,25.032931,121.555457,特優級,商業營業場所,女廁所,台灣中油股份有限公司,0
63000,63000030,通化里,A030001944,台灣中油信義路加油站無障礙,臺北市大安區通化里信義路四段374號,經濟部,25.032931,121.555457,特優級,商業營業場所,女廁所,台灣中油股份有限公司,0
63000,63000030,永康里,A030001934,台灣中油金山南路加油站女廁,臺北市大安區永康里金山南路二段77號,經濟部,25.03148,121.527198,特優級,商業營業場所,女廁所,台灣中油股份有限公司,0
63000,63000090,合成里,A090000742,捷運昆陽站無障礙親子,臺北市南港區合成里忠孝東路六段451號,縣市政府,25.050611,121.593796,特優級,交通,無障礙廁所,臺北大眾捷運股份有限公司,0
63000,63000110,蘭雅里,A110001966,全家便利商店臺北市天強店男女,"臺北市士林區蘭雅里中山北路六段238號 ",全家便利商店股份有限公司,25.108951,121.525447,特優級,商業營業場所,混合廁所,全家便利商店股份有限公司,0
63000,63000070,福星里,A070000928,洛陽停車場7樓07號無障礙廁所,臺北市萬華區福星里環河南路一段1號,縣市政府,25.04765604,121.5057072,特優級,交通,無障礙廁所,臺北市停車管理工程處,0
63000,63000120,一德里,A120001347,好市多北投店1F無障礙,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,無障礙廁所,好市多購物中心北投店,0
63000,63000120,一德里,A120001346,好市多北投店1F女廁,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,女廁所,好市多購物中心北投店,0
63000,63000120,一德里,A120001345,好市多北投店1F男廁,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,男廁所,好市多購物中心北投店,0
63000,63000120,一德里,A120001344,好市多北投店B1親子廁所,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,親子廁所,好市多購物中心北投店,0
63000,63000120,一德里,A120001343,好市多北投店B1無障礙,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,無障礙廁所,好市多購物中心北投店,0
63000,63000120,一德里,A120001342,好市多北投店B1女廁,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,女廁所,好市多購物中心北投店,0
63000,63000120,一德里,A120001341,好市多北投店B1男廁,臺北市北投區立德路117號,縣市政府,25.127562,121.470067,特優級,,男廁所,好市多購物中心北投店,0
63000,63000060,建明里,A060000891,京站時尚廣場B3北親子,臺北市大同區建明里承德路一段1號,縣市政府,25.04909,121.516784,特優級,,親子廁所,京站時尚廣場,0
63000,63000060,建明里,A060000890,京站時尚廣場B2西親子,臺北市大同區建明里承德路一段1號,縣市政府,25.04909,121.516784,特優級,,親子廁所,京站時尚廣場,0
63000,63000060,建明里,A060000889,京站時尚廣場B1西無障礙,臺北市大同區建明里承德路一段1號,縣市政府,25.04909,121.516784,特優級,,無障礙廁所,京站時尚廣場,0
63000,63000060,建明里,A060000888,京站時尚廣場1F無障礙,臺北市大同區建明里承德路一段1號,縣市政府,25.04909,121.516784,特優級,,無障礙廁所,京站時尚廣場,0
63000,63000060,建明里,A060000887,京站時尚廣場2F西無障礙,臺北市大同區建明里承德路一段1號,縣市政府,25.04909,121.516784,特優級,,無障礙廁所,京站時尚廣場,0
63000,63000060,建明里,A060000886,京站時尚廣場4F東親子,臺北市大同區建明里承德路一段1號,縣市政府,25.04909,121.516784,特優級,,親子廁所,京站時尚廣場,0
63000,63000100,港墘里,A100001455,大港墘公園地下停車場無障礙,臺北市內湖區港墘里洲子街18號,縣市政府,25.07851,121.574473,特優級,交通,無障礙廁所,臺北市停車管理工程處,0
63000,63000100,港墘里,A100001454,大港墘公園地下停車場女,臺北市內湖區港墘里洲子街18號,縣市政府,25.07851,121.574473,特優級,交通,女廁所,臺北市停車管理工程處,0
63000,63000100,港墘里,A100001453,大港墘公園地下停車場男,臺北市內湖區港墘里洲子街18號,縣市政府,25.07851,121.574473,特優級,交通,男廁所,臺北市停車管理工程處,0
63000,63000070,和平里,A070000519,萬板地下停車場無障礙,臺北市萬華區和平里艋舺大道462號,縣市政府,25.028325,121.490848,特優級,交通,無障礙廁所,臺北市停車管理工程處,0
63000,63000070,日善里,A070000654,萬華國中地下停車場女無障礙,臺北市萬華區日善里西藏路201號,縣市政府,25.02927685,121.499573,特優級,交通,無障礙廁所,臺北市停車管理工程處,0
63000,63000070,日善里,A070000653,萬華國中地下停車場男無障礙,臺北市萬華區日善里西藏路201號B1樓,縣市政府,25.02908,121.498909,特優級,交通,無障礙廁所,臺北市停車管理工程處,0
